"job_id","title_of_job","hiring_company","country","city_state","schedule","yearly_salary"
641501,"Data Analyst","Citigroup, Inc","United States","Jacksonville, FL","Full-time","375000"
1147675,"Data Analyst","Illuminate Mission Solutions","United States","Bethesda, MD","Full-time","375000"
1110602,"Data Analyst","Illuminate Mission Solutions","United States","Bethesda, MD","Full-time","375000"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000"
1059665,"Data Analyst","Anthropic","United States","San Francisco, CA","Full-time","350000"
547382,"Data Analyst","Meta","United States","Anywhere","Full-time","336500"
894135,"Data Analyst","OpenAI","United States","San Francisco, CA","Full-time","285000"
552322,"Data Analyst","AT&T","United States","Anywhere","Full-time","255830"
285766,"Data Analyst","Google","United States","Austin, TX","Full-time","254000"
1147498,"Data Analyst","Channel Personnel Services","United States","Atlanta, GA","Full-time","245000"
339646,"Data Analyst","Coda Search│Staffing","United States","New York, NY","Full-time","240000"
144450,"Data Analyst","Anthropic","United States","San Francisco, CA","Full-time","240000"
1713491,"Data Analyst","TikTok","United States","New York, NY","Full-time","239778"
841064,"Data Analyst","TikTok","United States","New York, NY","Full-time","239778"
560874,"Data Analyst","Asana","United States","San Francisco, CA","Full-time","235000"
99305,"Data Analyst","Pinterest Job Advertisements","United States","Anywhere","Full-time","232423"
840299,"Data Analyst","Genentech","United States","South San Francisco, CA","Full-time","230000"
204500,"Data Analyst","Selby Jennings","United States","New York, NY","Full-time","225000"
731233,"Data Analyst","CliftonLarsonAllen","United States","Boston, MA","Full-time","225000"
1254565,"Data Analyst","GovCIO","United States","Fairfax, VA","Full-time","225000"
1092247,"Data Analyst","Options Clearing Corporation","United States","Chicago, IL","Full-time","225000"
1145894,"Data Analyst","TikTok","United States","San Jose, CA","Full-time","224500"
544491,"Data Analyst","TikTok","United States","Los Angeles, CA","Full-time","222500"
200616,"Data Analyst","TikTok","United States","San Jose, CA","Full-time","222094"
4635,"Data Analyst","MosaicML","United States","United States","Full-time","220000"
908145,"Data Analyst","Ball","United States","Chantilly, VA","Full-time","218500"
1493775,"Data Analyst","Ball","United States","Chantilly, VA","Full-time","218500"
314402,"Data Analyst","TikTok","United States","Los Angeles, CA","Full-time","217550"
1021647,"Data Analyst","Uclahealthcareers","United States","Anywhere","Full-time","217000"
686872,"Data Analyst","F. Hoffmann-La Roche AG","United States","South San Francisco, CA","Full-time","215643"
375513,"Data Analyst","TikTok","United States","Mountain View, CA","Full-time","215500"
597627,"Data Analyst","Guidehouse","United States","Arlington, VA","Full-time","213000"
1644870,"Data Analyst","Noblis","United States","Bethesda, MD","Full-time","210267"
112060,"Data Analyst","TikTok","United States","San Jose, CA","Full-time","208500"
922342,"Data Analyst","Blue Shield of California","United States","Oakland, CA","Full-time","205000"
168310,"Data Analyst","SmartAsset","United States","Anywhere","Full-time","205000"
36333,"Data Analyst","TikTok","United States","Los Angeles, CA","Full-time","204585"
925491,"Data Analyst","Noblis","United States","Bethesda, MD","Full-time","204000"
5570,"Data Analyst","Intuit Inc","United States","Mountain View, CA","Full-time","200000"
374039,"Data Analyst","Intuit Inc","United States","Mountain View, CA","Full-time","200000"
59895,"Data Analyst","Intuit Inc","United States","Mountain View, CA","Full-time","200000"
1337808,"Data Analyst","Intuit Inc","United States","Mountain View, CA","Full-time","200000"
1281297,"Data Analyst","Upstart","United States","Austin, TX","Full-time","200000"
236910,"Data Analyst","Central California Alliance for Health","United States","Merced, CA","Full-time","200000"
1772185,"Data Analyst","ThinkingData","United States","San Francisco, CA","Full-time","200000"
539110,"Data Analyst","Snakorpio Group Inc.","United States","Berkeley Heights, NJ","Full-time","200000"
958605,"Data Analyst","Airbnb","United States","San Francisco, CA","Full-time","200000"
388990,"Data Analyst","TripActions","United States","Palo Alto, CA","Full-time","198875"
735147,"Data Analyst","Amazon.com","United States","Palo Alto, CA","Full-time","198000"
1350787,"Data Analyst","Applied Materials","United States","Santa Clara, CA","Full-time","190000"
1282529,"Data Analyst","Harnham","United States","","Full-time","190000"
731368,"Data Analyst","Inclusively","United States","Anywhere","Full-time","189309"
310660,"Data Analyst","Motional","United States","Anywhere","Full-time","189000"
1026268,"Data Analyst","Citi","United States","Tampa, FL","Full-time","188675"
7110,"Data Analyst","Citi","United States","Illinois City, IL","Full-time","188675"
202205,"Data Analyst","Freenome","United States","South San Francisco, CA","Full-time","187875"
142369,"Data Analyst","TikTok","United States","Mountain View, CA","Full-time","186500"
556606,"Data Analyst","Walmart","United States","Sunnyvale, CA","Full-time","186093"
1749593,"Data Analyst","SmartAsset","United States","Anywhere","Full-time","186000"
198266,"Data Analyst","GoodRx","United States","San Francisco, CA","Full-time","186000"
1730160,"Data Analyst","Hitachi Vantara","United States","Dallas, TX","Full-time","185000"
325561,"Data Analyst","Renuity","United States","Dallas, TX","Full-time","185000"
1563879,"Data Analyst","Pronix Inc","United States","New York, NY","Full-time","185000"
108870,"Data Analyst","Stripe","United States","South San Francisco, CA","Full-time","184878"
387860,"Data Analyst","Get It Recruit - Information Technology","United States","Anywhere","Full-time","184000"
270177,"Data Analyst","AMERICAN SYSTEMS","United States","College Park, MD","Full-time","182500"
146500,"Data Analyst","Citi","United States","St. Charles, IL","Full-time","181425"
166615,"Data Analyst","TikTok","United States","Mountain View, CA","Full-time","181178"
396924,"Data Analyst","TikTok","United States","New York, NY","Full-time","181178"
412102,"Data Analyst","TikTok","United States","San Jose, CA","Full-time","181000"
831133,"Data Analyst","IRIS Software, Inc.","United States","New York, NY","Full-time","180000"
386504,"Data Analyst","Brewer Morris","United States","New York, NY","Full-time","180000"
1282373,"Data Analyst","Walmart","United States","Sunnyvale, CA","Full-time","180000"
315295,"Data Analyst","Meta","United States","Menlo Park, CA","Full-time","179500"
1698706,"Data Analyst","Amazon.com","United States","Palo Alto, CA","Full-time","179000"
1733003,"Data Analyst","Fidelity Investments","United States","Boston, MA","Full-time","179000"
164135,"Data Analyst","Walmart Global Tech","United States","Sunnyvale, CA","Full-time","175500"
798481,"Data Analyst","Raymond James Financial, Inc","United States","St. Petersburg, FL","Full-time","175000"
712928,"Data Analyst","MultiPlan Inc.","United States","Boston, MA","Full-time","175000"
405956,"Data Analyst","Blink Health","United States","New York, NY","Full-time","175000"
415878,"Data Analyst","Smarsh","United States","New York, NY","Full-time","175000"
1699984,"Data Analyst","Meta","United States","New York, NY","Full-time","175000"
1392949,"Data Analyst","BlueCross BlueShield of South Carolina","United States","Columbia, SC","Full-time","175000"
277014,"Data Analyst","The Princeton Group","United States","Stamford, CT","Full-time","175000"
1393428,"Data Analyst","Lazarus","United States","Boston, MA","Full-time","175000"
566479,"Data Analyst","CHARLES RIVER LABORATORIES INTERNATIONAL, INC","United States","Boston, MA","Full-time","175000"
1293960,"Data Analyst","Parabolic Career","United States","New York, NY","Full-time","175000"
982638,"Data Analyst","Black Knight Financial Technology Solutions LLC","United States","Jacksonville, FL","Full-time","175000"
1691805,"Data Analyst","XCelerate Solutions","United States","McLean, VA","Full-time","175000"
1468996,"Data Analyst","Marlowe Partners LP","United States","New York, NY","Full-time","175000"
136669,"Data Analyst","Centauri","United States","Orange Park, FL","Full-time","175000"
998080,"Data Analyst","CyberCoders","United States","Pasadena, CA","Full-time","175000"
426840,"Data Analyst","ROKT","United States","New York, NY","Full-time","175000"
409756,"Data Analyst","Channel Personnel Services","United States","Houston, TX","Full-time","175000"
1707460,"Data Analyst","Xator Corp","United States","Bethesda, MD","Full-time","175000"
1471936,"Data Analyst","NobleAI","United States","San Francisco, CA","Full-time","174040"
128799,"Data Analyst","Life360","United States","San Mateo, CA","Full-time","174000"
317291,"Data Analyst","Capital One","United States","Valparaiso, IN","Full-time","173500"
115319,"Data Analyst","Freenome","United States","South San Francisco, CA","Full-time","173000"
609140,"Data Analyst","eBay","United States","San Jose, CA","Full-time","173000"
115536,"Data Analyst","TikTok","United States","Los Angeles, CA","Full-time","172119"
603664,"Data Analyst","Citi","United States","Florida City, FL","Full-time","172015"
742951,"Data Analyst","Citi","United States","Elk Grove, CA","Full-time","172015"
1308109,"Data Analyst","eSmartloan","United States","McLean, VA","Full-time","171500"
99686,"Data Analyst","Blue Shield of California","United States","Calabasas, CA","Full-time","170500"
336676,"Data Analyst","Cepheid","United States","Saratoga, CA","Full-time","170000"
588023,"Data Analyst","Motion Recruitment","United States","Washington, DC","Full-time","170000"
188842,"Data Analyst","Cepheid","United States","Santa Clara, CA","Full-time","170000"
205319,"Data Analyst","Specialized Recruiting Group","United States","Washington, DC","Full-time","170000"
248758,"Data Analyst","ByteDance","United States","Mountain View, CA","Full-time","170000"
1781684,"Data Analyst","Robert Half","United States","Anywhere","Full-time","170000"
87862,"Data Analyst","Brown & Brown, Inc.","United States","Sandy Springs, GA","Full-time","170000"
1581272,"Data Analyst","Coda Search│Staffing","United States","","Full-time","170000"
276985,"Data Analyst","Cepheid","United States","Palo Alto, CA","Full-time","170000"
1156183,"Data Analyst","Cepheid","United States","San Jose, CA","Full-time","170000"
60638,"Data Analyst","ByteDance","United States","Mountain View, CA","Full-time","170000"
634337,"Data Analyst","Mavent Analytics","United States","Iowa","Full-time","170000"
1352513,"Data Analyst","A-Line Staffing Solutions","United States","Anywhere","Full-time","170000"
335864,"Data Analyst","CGS Federal (Contact Government Services)","United States","Santa Ana, CA","Full-time","170000"
175651,"Data Analyst","Mayo Clinic","United States","Rochester, MI","Full-time","169686"
522007,"Data Analyst","Mayo Clinic","United States","Rochester, MI","Full-time","169322"
956569,"Data Analyst","TikTok","United States","San Jose, CA","Full-time","169311"
205997,"Data Analyst","TikTok","United States","Mountain View, CA","Full-time","169311"
1075686,"Data Analyst","TikTok","United States","Mountain View, CA","Full-time","169311"
105434,"Data Analyst","TikTok","United States","Mountain View, CA","Full-time","169311"
185448,"Data Analyst","TikTok","United States","San Jose, CA","Full-time","169311"
199639,"Data Analyst","PayPal","United States","San Jose, CA","Full-time","167508"
1550984,"Data Analyst","Notion","United States","San Francisco, CA","Full-time","167500"
1276455,"Data Analyst","Galaxy","United States","New York, NY","Full-time","167500"
1161426,"Data Analyst","Vuori, Inc","United States","Carlsbad, CA","Full-time","167500"
1525451,"Data Analyst","Uber","United States","Anywhere","Full-time","167000"
