"job_id","title_of_job","hiring_company","country","city_state","schedule","yearly_salary","skills_required"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","tableau"
1110602,"Data Analyst","Illuminate Mission Solutions","United States","Bethesda, MD","Full-time","375000","tableau"
1110602,"Data Analyst","Illuminate Mission Solutions","United States","Bethesda, MD","Full-time","375000","excel"
1110602,"Data Analyst","Illuminate Mission Solutions","United States","Bethesda, MD","Full-time","375000","vba"
1110602,"Data Analyst","Illuminate Mission Solutions","United States","Bethesda, MD","Full-time","375000","r"
641501,"Data Analyst","Citigroup, Inc","United States","Jacksonville, FL","Full-time","375000","excel"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","sas"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","power bi"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","sql"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","python"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","r"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","sas"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","matlab"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","spark"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","airflow"
229253,"Data Analyst","Torc Robotics","United States","Austin, TX","Full-time","375000","excel"
1110602,"Data Analyst","Illuminate Mission Solutions","United States","Bethesda, MD","Full-time","375000","python"
641501,"Data Analyst","Citigroup, Inc","United States","Jacksonville, FL","Full-time","375000","word"
1059665,"Data Analyst","Anthropic","United States","San Francisco, CA","Full-time","350000","sql"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","python"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","r"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","bigquery"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","snowflake"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","tableau"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","power bi"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","looker"
101757,"Data Analyst","Care.com","United States","Austin, TX","Full-time","350000","sql"
1059665,"Data Analyst","Anthropic","United States","San Francisco, CA","Full-time","350000","python"
894135,"Data Analyst","OpenAI","United States","San Francisco, CA","Full-time","285000","github"
552322,"Data Analyst","AT&T","United States","Anywhere","Full-time","255830","sql"
